TRACT,weighted_mean_dist_m,weighted_mean_percentile,total_population
004801,370.51721742177295,31.132628007046183,2820
004802,226.57709745702306,15.448951733782508,3634
004901,276.4819749809814,21.901371154855152,3380
004902,292.7178594199076,23.000583785240732,3449
005001,249.1997128144549,18.434477149745014,2012
005003,152.27553278978348,8.186088764159472,2143
005004,317.53379560865204,25.178186016648834,3861
005202,216.18278700139166,14.347908138678463,3408
005203,145.51600327400234,7.352476596978494,2979
005302,112.90569076352105,4.733359505455248,2518
005303,160.80633933728149,8.408053353714148,3215
005501,124.73105032895363,5.5615291490857,2303
005502,159.75069998589302,8.55469487431174,2968
005503,235.97463395706689,16.00180968385141,2492
005601,245.80435201025617,17.420040270997426,2900
005602,353.72437967005783,29.240623896839537,4100
005801,323.3505360107764,26.181953897917612,1672
005802,328.68346186689894,26.383999187193332,2145
005900,461.12353630587495,40.48426820603444,2617
006400,606.9027561864146,55.44452260738424,2481
006500,449.86824955114224,39.866562509425194,2609
006600,202.10301872035848,12.832050667430106,2164
006700,404.2630562739277,34.84774136814025,3927
006801,545.87398449235,49.87008476714347,2238
006802,373.79225245935964,31.5382070854596,2580
006804,193.57858097683814,11.252212990332874,2429
006900,216.1623669067776,14.140183273620845,2799
007000,382.522496721931,32.57242453845123,2697
007100,418.5996956584348,36.22570346740526,3218
007201,304.79082511799584,23.944125886461084,2985
007202,134.69990407559388,6.472508975623859,4303
007203,240.15705552895352,17.102578925474056,3748
007301,1170.6177571125809,83.60956401591442,3841
007304,374.21479894387187,31.6834933385543,4410
007401,754.5406930509206,68.50065322392135,1259
007403,313.8219751638204,24.674128812064982,2613
007404,549.2540289178703,48.8724525611944,3637
007406,685.9811490847296,63.71266246197919,3528
007407,709.821166270646,62.055795636006,3491
007408,549.1311723541163,50.421193281448836,2867
007409,245.53189215405408,17.421099127913468,3835
007502,500.3846256673987,44.80262112448208,4687
007503,376.12413225743074,31.997238975380583,2528
007504,838.2527265300408,73.70576409671402,2730
007601,857.910703962383,70.96924336776851,4693
007603,398.2961718662625,33.834250906392846,4185
007604,617.6489865517162,54.73307263443263,3803
007605,727.1679984547144,65.46338537687731,3663
007703,801.0078198857686,71.2669556740517,5227
007707,1315.978831780142,93.52445565271071,3927
007708,977.4587563798989,78.7695557367825,2574
007709,999.916272547896,82.92210741054527,2072
007803,351.36616685553315,29.348891592719088,4590
007804,867.8330972540704,72.6811077851984,3499
007806,1321.432644748388,90.21387219564248,3457
007807,976.5745496851458,77.60637349343926,2114
007808,703.5943783855706,58.75656847818381,3792
007809,1273.863859919722,90.81658269928269,3155
007901,359.3586149018313,30.00251307190434,4148
007903,604.6109065029206,55.530847601559785,1865
008001,562.8764860509373,51.71539898412691,3103
008002,739.285263152523,67.57401488042372,3366
008100,307.5280650290692,24.359332132553476,3153
008200,216.14060838568025,14.652166760444443,2695
008301,260.070358506618,19.436369761028175,3220
008302,187.98840012864503,12.467047909412166,3026
008402,258.25285058238643,18.952061528391248,2447
008410,275.93698251772946,20.792211926895103,1843
008701,570.6639636186632,50.53103898479417,2814
008702,631.7504680131846,57.65102162543451,3574
008802,579.8809273238568,52.72818639833089,4360
008803,776.0285338598866,69.3182502049843,4036
008804,838.4668057798817,72.98468873814087,2417
008903,514.6986783804851,46.17645246723267,3062
008904,486.92997831050263,43.29513414122775,3137
009000,452.13436841993206,39.26798943880901,4676
009102,472.8838323670013,40.93675483835191,4608
009201,555.8405133155635,51.06987495746465,3103
009203,717.150991626116,65.17495702323518,2775
009204,394.9958423174005,33.69307532935896,2889
009301,620.203166145226,54.0177293268423,3853
009302,473.67551387598445,41.670794020486255,1750
009400,816.5943629654889,68.19375072764427,4424
009503,638.5969592363699,56.41112135799971,3106
009504,758.006893046981,64.29493766830636,3208
009505,518.0098994244446,44.815178144599315,3796
009507,433.5373593872052,37.8303929135383,1525
009508,440.4935651024949,37.392328064743275,4243
009509,678.1509702794467,61.00876216604353,3194
009510,1104.1322840254809,86.78718849696367,4525
009511,809.6492859329059,73.30133541878612,2066
009601,1198.8819394392306,86.18425344522578,2086
009602,401.59861571937176,34.77352073159336,4481
009603,250.76305218182617,17.890804657171582,3971
009604,689.1935596565235,63.06385854390531,1996
009700,288.0311732261644,21.964113470765746,3188
009801,422.45934304812096,36.92888794785318,1848
009802,606.9089447373947,55.459258155913126,2064
009803,546.4645853977116,48.87245687488481,2968
009804,580.8510081500389,53.18603088087678,2517
009807,288.7600665668309,22.517469982296152,3523
009810,534.1221286559776,48.37091635671863,2461
009811,881.8044269399686,76.63669257705322,4438
009901,539.2677640327576,47.7630125930999,2364
009902,666.9503834315971,55.130260468161175,2774
009903,941.3698902645751,79.71010233733166,2004
009904,757.2036957283897,67.94341466608977,2886
009905,1154.9406497361326,89.0937045524066,2790
009906,259.73465820444034,19.220346454511905,1773
009907,799.3991571582948,70.28963942378327,2259
010100,232.43914941828896,16.658381456893064,2699
010201,165.1417841214384,10.137540419636732,3341
010202,247.09353296833507,19.78298875727706,2631
010300,793.33083492282,65.44579942321799,3604
010400,457.20399811406975,39.61009740374882,4616
010500,350.25826378487653,28.89008441420614,3712
010601,124.8092234285415,5.070711520272302,2130
010602,289.59334371522823,22.800114157307497,6594
010603,181.36321548901267,10.240911002579583,3068
010700,228.94190685319535,16.446771221401878,2296
010800,200.6459878279261,12.803667182922313,6879
010900,606.6049059780067,54.1879940780636,3333
011001,403.76255501904603,34.648247369848086,2423
011002,467.4307968931936,39.96801095069653,1859
011100,637.6237562726583,57.36561574546275,5903
980000,657.9667264406437,59.71523797280743,176
