NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,SSL,COMMENTS,DATE_ACQUIRED,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Forest Hills Playground,"32nd & Chesapeake Sts., NW",PARK,DPR_0654,Y,0,1,0,0,0,0,2,0,,Y,,,,1,1,0,0,,,,,,,,,,,,,,,,,N,3,,01,,0654,none,RES 06540000,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{90EA977C-C7FF-4299-8022-C7ED4DB281A8},,,41,0,0
North Michigan Park,"13th and Emerson Sts., NE",REC CENTER GROUNDS,DPR_0031,Y,1,0,0,0,0,0,0,0,N,Y,5,1,11,0,0,0,0,N,0,0,0,N,,Y,0,0,Nne,Pr,Nw,RpLACE,Pr,Ir,MdSlp,N,5,,11,Y,none,none,PAR 01480074,,,,{A5496506-3F02-411A-9E08-F38D4EC5121F},,,42,0,0
Triangle Park RES 312D,"Arkansas Ave.,13th St.,Emerson St.,NW",TRIANGLE,DPR_312D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,312D,none,RES 312D0000,TOJ for Comp Plan,,,{5B6D1F80-0321-4F75-B100-6DA985691431},,,43,0,0
Wilson Aquatic Center,3950 CHESAPEAKE STREET NW,AQUATIC CENTER,DPR_0054,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,none,,1772    0009,,,,{C9E44EEB-7503-4666-9945-9A65ABC7A9CF},,,44,0,0
Triangle Park RES 0585,"New Hampshire Ave.,3rd St.,Decatur St.,NW",TRIANGLE,DPR_0585,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,0585,none,RES 05850000,TOJ for Comp Plan,,,{5B6C4584-5A71-4A6D-B993-20B62D1419A5},,,45,0,0
Triangle Park RES 0350,"Massachusetts Ave.,50th St.,Yuma St.,NW",TRIANGLE,DPR_0350,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,03,,0350,none,1483    0800,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),,,{CD4C50FC-0CE2-45C6-BB65-20E0B360840F},,,46,0,0
Triangle Park RES 0413,"New Hampshire Ave., between 4th & Buchanan Sts., NW",TRIANGLE,DPR_0413,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,0413,none,RES 04130000,TOJ for Comp Plan,,,{FC7C59C3-3DD8-4F6F-BD58-5578E1012B96},,,47,0,0
Upshur,"14th St. and Arkansas Ave., NW",REC CENTER GROUNDS,DPR_0035,Y,1,0,2,0,1,0,0,0,N,Y,0,1,1,1,1,0,1,N,0,0,0,N,,Y,2,8,Nw,RpLACE,RpLACE,RpLACE,RpLACE,ChnLnk,MdSlp,N,4,,09,Y,none,Sharpe Health Special Education School,Multiple Lots,<Null>,,,{2AD841A2-65E2-4B41-8090-D8FBAF0BAF1D},,,48,0,0
Friendship,"45th St., Van Ness and Massachusetts Ave., NW",REC CENTER GROUNDS,DPR_0613A,Y,3,1,2,0,0,0,2,0,N,Y,5,1,7,1,1,0,0,N,0,0,0,N,,N,1,0,Nne,Gd,Nw,RpLACE,Pr,ChnLnk,Flt,Y,3,,02,Y,"0613,0613A",none,Multiple Lots,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{6F1325D2-7D47-4F53-B9FB-0879392A81AF},,,49,0,0
Triangle Park RES 0505,"18th St. and Argyle Terr., NW",SMALL PARK,DPR_0505,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,0505,none,RES 05050000,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),,,{5307AD94-2DBA-4753-A402-9DA92F3D7191},,,50,0,0
Triangle Park RES 0477,"Wisconsin Ave.,39th St. ,Veazy St.,NW",TRIANGLE,DPR_0477,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,02,,0477,none,RES 04770000,TOJ for Comp Plan,,,{27FE6E96-FC52-4F49-A711-680AA3A44AD5},,,51,0,0
