NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,SSL,COMMENTS,DATE_ACQUIRED,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
7th & N Street Playground,"7th & N Streets, NW",,DPR_0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,none,,0448    0113,,,,{93F23225-6AE3-420A-9F42-1085043A82B4},,,158,0,0
New York Ave Daycare,"New York Ave. and 1st St., NW",REC CENTER GROUNDS,DPR_0021,Y,1,0,2,0,0,0,0,0,N,N,4,0,0,1,1,0,0,N,0,0,0,N,,N,0,1,RpAIR,Nne,RpAIR,RpLACE,Pr,ChnLnk,Flt,N,5,,05,N,none,none,Multiple Lots,,1944/05/29 04:00:00+00,,{F87936F7-3E43-4FEE-B36A-AB79323A7966},,,159,0,0
Triangle Park RES 0140,"New Hampshire Ave.,21st St.,M St.,NW",TRIANGLE,DPR_0140,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,06,,0140,none,RES 01400000,TOJ for Comp Plan,,,{3E889DE4-906B-47BE-88CC-842D148FFC51},,,160,0,0
Triangle Park RES 0179,"New York Ave NW, between 3rd St NW and New Jersey Ave NW",TRIANGLE,DPR_0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0179,,RES 01790000,TOJ TO DC,,,{03D9DD1B-448E-45D4-9949-49A0BE0F276D},,,161,0,0
Butler-Wyatt Clubhouse # 2 Boys & Girls Club,120 M STREET NW,SPECIALTY,DPR_0053,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,none,,0557    0898,,,,{94263CF7-8E16-45AD-A4A6-4FFC957703D5},,,162,0,0
10th Street Community Park,"10th Street NW, between L Street NW and M Street NW",SMALL PARK,DPR_0002,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,none,none,0369    0877,,,,{55DD8CE0-CED7-4CCE-8C60-BC5098DC2584},,,163,0,0
10th Street Community Park,"10th Street NW, between L Street NW and M Street NW",SMALL PARK,DPR_0010,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,none,none,0369    0874,,,,{08D5043A-8170-4CBB-BB2B-DCD7953DB540},,,164,0,0
RH Terrell Recreation Center,155 L STREET NW,REC CENTER GROUNDS,DPR_0049,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,none,,0557    0171,,,,{DDE8AA59-FB10-459C-8710-49EBB59F0248},,,165,0,0
Joseph H. Cole Recreation Center,1299 NEAL STREET NE,REC CENTER GROUNDS,DPR_0055,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,none,,4066    0821,,,,{EE04AAFC-3851-45ED-9417-BB29BEF6A587},,2024/08/26 22:44:17+00,166,0,0
Mt Vernon Square,"Mt Vernon Pl NW, K St NW, 7th St NW, and 9th St NW",SMALL PARK,DPR_0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0008,none,0403N   0800,"Subdivision Book 204, Page 198. TOJ to DC for park & recreation purposes",,,{6637A601-EC92-40C0-AB7B-988DAE43262E},,,168,0,0
Franklin Square,"K St., I St., 13th St., and 14th St., NW",LARGE PARK,DPR_0013,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,none,none,0249    0800,FEDERAL LANDS PACKAGE:  COOPERATIVE MANAGEMENT AGREEMENT WITH NATIONAL PARK SERVICE (NPS) TO OVERSEE PARK MAINTENANCE,,,{DB87DA1E-AD89-4050-8D7D-7639A1BEC880},,,169,0,0
26th & I Street Playground,"26th & I Streets, NW",SMALL PARK,DPR_0064,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,none,none,,,,,{DE0192C3-DB70-4CDC-AFF8-01DA3406D102},,,170,0,0
Marvin Gaye Park,"42nd St. & Hunt Pl., to 63rd St. & Southern Ave., NE",LARGE PARK,DPR_0610,Y,1,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Y,7,,13,,0610,Drew Elementary School,RES 06100000,Subdivision Book 199 Page 154 (TOJ for Recreation Purposes),,,{DFFE1601-597F-415D-96CB-F3B122F72737},,,171,0,0
Sherwood,"9th and 10th Sts., to F and G Sts., NE",REC CENTER GROUNDS,DPR_0552,Y,0,0,1,0,0,0,1,0,N,N,3,1,0,0,0,0,0,N,0,0,0,N,,N,0,0,,Pr,Nw,RpLACE,Pr,Ir,Flt,N,6,,12,,0552,Madison,RES 05520000,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{48F768AF-0809-4B83-B3F1-ADA37B14368A},,,172,0,0
Rosedale,"17th and Gales Sts., NE",REC CENTER GROUNDS,DPR_0041,Y,1,1,2,0,0,0,2,0,N,N,0,1,4,1,0,0,1,N,0,0,0,,,N,0,2,Nw,RpLACE,Nw,RpLACE,RpAIR,ChnLnk,Flt,N,6,,12,N,none,Gibbs Elementary School,Multiple Lots,,,,{3606CFE5-C08F-43AE-B84F-E2D3B9063E39},,,173,0,0
H.D. Woodson Aquatic Center,540 55TH STREET NE,AQUATIC CENTER,DPR_0050,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,none,HD Woodson,5218    0026,,,,{BB88D229-CF08-4ADC-B3F7-85A11D03A605},,,174,0,0
Kingman and Heritage Islands,Anacostia River between Benning Rd. and Railroad Bridge,PARK,DPR_343F,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,7,,12,,343F,none,RES 343F0000,,,,{11606E24-7185-4FD9-8397-94928E6E8173},,,175,0,0
Triangle Park RES 0269,"Tennessee Ave.,14th St.,E St.,NE",TRIANGLE,DPR_0269,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0269,none,RES 02690000,TOJ for Comp Plan,,,{9E47E91B-1BCD-407D-85A8-E10036EA6BAA},,,176,0,0
Lovejoy Park,"E St., between 11th and 12th Sts., NE",PARK,DPR_0690,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,12,,0690,none,0985    0808,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{562592A7-52FC-4DC0-B4C4-5737CA0C6D48},,,177,0,0
Kingsman Field,"14th St. and Tennessee Ave., NE",PARK,DPR_0663,Y,2,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,N,0,0,0,,,N,1,7,Nne,,Nne,RpLACE,RpLACE,ChnLnk,Flt,N,6,,12,N,0663,Kingsman,Multiple Lots,,1972/12/14 05:00:00+00,,{04B9B319-A468-4BE7-AA2D-1BE8B3BF87CF},,,178,0,0
Kelly Miller Park,"49th and 50th Sts., Brooks Pl., NE",PARK,DPR_0628,Y,2,0,2,0,0,0,3,0,N,,0,0,0,0,0,1,0,N,0,0,0,N,,Y,0,0,RpAIR,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,7,,13,N,0628,Kelly Miller Middle School,Multiple Lots,"Subdivision 158, Page 37.  TOJ to DC for recreation purposes",1972/11/14 05:00:00+00,,{433EB6F9-0E40-41CF-8B66-41D9A8E591BC},,,179,0,0
Triangle Park RES 0268,"Tennessee Ave.,14th St.,D St.,NE",TRIANGLE,DPR_0268,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0268,none,RES 02680000,TOJ for Comp Plan,,,{A25E3C0A-6AA4-4B73-A400-D6230DB4D76B},,,180,0,0
Triangle Park RES 0238,"North Carolina Ave.,15th St.,Consitution Ave.,NE",TRIANGLE,DPR_0238,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0238,none,RES 02380000,TOJ for Comp Plan,,,{21CBBE9F-66C2-444C-867A-87CEA4F7B77F},,,181,0,0
Triangle Park RES 0485,"Blaine St., Brooks & 51st Sts., SE",TRIANGLE,DPR_0485,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13,,0485,none,RES 04850000,TOJ for Comp Plan,,,{8C32EC06-91FB-44E2-9953-B36D038E87D4},,,182,0,0
Triangle Park RES 0235,"North Carolina Avenue and A Street, NE",SMALL PARK,DPR_0235,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0235,none,RES 02350000,TOJ for Comp Plan,,,{7E7C5333-A310-4682-A249-31F1EC07F9A8},,,183,0,0
Evans Park,"East Capitol and Blaine Sts., to 55th St. & 57th Pl., SE",PARK,DPR_0016,Y,1,1,1,0,0,0,2,0,N,N,0,0,0,0,1,0,0,N,0,0,0,N,,N,0,0,RpLACE,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,7,,13,N,none,Evans Middle School,5244    0804,"Subdivision Book 140, Page 173",,,{0F3A4A9E-2D7C-4C11-894B-3D4E3905C11D},,,184,0,0
Triangle Park RES 0084,"Massachusetts Ave., between 9th St & A St, Ne",TRIANGLE,DPR_0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0086,none,RES 00860000,TRIANGLE (TRANS TO DC) 12/14/1972,1972/12/14 05:00:00+00,,{2F0E2F2B-CA01-4E5E-8B89-16E6061F6523},,,185,0,0
Triangle Park 5189    0845,"Central Ave.,49th St.,East Capitol St.,NE",TRIANGLE,DPR_0018,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13,,none,none,5189    0845,,,,{5177159A-2EA4-4C8C-B059-47A06EB7D741},,,186,0,0
Benning Stoddert Community Center,"East Capitol St., between Burns & B Sts., SE",REC CENTER GROUNDS,DPR_0706,Y,1,0,4,0,0,0,0,0,N,Y,0,1,8,1,0,0,0,Y,1,0,0,N,,Y,1,7,RpAIR,RpAIR,RpAIR,RpLACE,Gd,ChnLnk,MdSlp,N,7,,14,N,0706,none,Multiple Lots,Subdivision Book 152 Page 132 (TOJ for Recreation Purposes),,,{C8139D42-8D96-4171-84FD-F1D11AD5F344},,,187,0,0
Fort Chaplin Park,"Texas Ave. and C St., SE",PARK,DPR_0612,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,7,,14,,0612,Plummer Elementary School,RES 06120000,Subdivision Books (158 & 137) Pages (39 & 169) (TOJ to DC for Recreation purposes),1972/12/14 05:00:00+00,,{35F33C6F-19FA-407B-B6F6-15F24A13E405},,,188,0,0
Triangle Park RES 337C,"Minnesota Ave.,36th St.,Croffut Pl.,SE",TRIANGLE,DPR_337C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,14,,337C,none,RES 337C0000,TOJ for Comp Plan,,,{BBA469A6-14E3-4965-9DB1-6F7E9DACB720},,,189,0,0
Rumsey Aquatic Center,"7th St. and N. Carolina Ave., NE",AQUATIC CENTER,DPR_0019,Y,0,0,0,0,0,0,0,0,N,N,6,0,0,0,0,1,0,N,0,0,0,,,N,0,5,Nne,RpAIR,Nw,RpLACE,,Nne,Flt,N,6,,12,N,none,none,0872    0800,"Subdivision Book 28, Page 99, Survey Book 29, Page 108",1972/12/14 05:00:00+00,,{ABA1A3BF-8EA6-49E7-A730-022171C703FE},,2024/08/26 23:01:34+00,190,0,0
Fletcher-Johnson,"Benning Rd., C St., and St Louis St. SE",PARK,DPR_0030,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,7,,,,none,none,5344    0802,,,,{FF0C607C-F097-4603-86D4-C576EDDF6F5B},,,191,0,0
17th & C Triangle Park Playground RES 0092,"Massachusetts Ave.,17th St.,C St.,SE",TRIANGLE,DPR_0092,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,12,,0092,none,RES 00920000,TOJ for Comp Plan,,,{1DB4C0F9-DB12-4A9B-A723-B763A9D20CB1},,,192,0,0
DC General Playground,"1900 Massachusetts Avenue, SE",PARK,DPR_0013,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,0013,none,RES 00130000,,,,{E35F12E5-5076-4D49-9120-356102CA9D20},,,193,0,0
Triangle Park RES 0240,"South of South Carolina Avenue and C Street, SE",SMALL PARK,DPR_0240,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0240,none,RES 02400000,TOJ for Comp Plan,,,{B571E920-554F-45D9-8D89-076BCC177CD2},,,194,0,0
Triangle Park RES 0116,"Virginia Ave., east side of 6th & D Sts., SW",TRIANGLE,DPR_0116,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0116,,RES 01160000,"Subdivision Book 123, Page 130.  TOJ TO DC",,,{36F74884-5201-4647-8E22-89D3F376457A},,,196,0,0
Triangle Park RES 0046,"Pennsylvania Ave., west of 8th and D Sts., SE",TRIANGLE,DPR_0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0046,none,0901S   0803,"Subdivision 204, Page 198. GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space",,,{4B685204-E4F6-4986-AE1E-50B0382EB6A3},,,197,0,0
"Triangle Park RES 0048,0049","Pennsylvania Ave., between 8th, 9th St. and South Carolina Ave., SE",TRIANGLE,DPR_0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,"0048,0049",none,Multiple Lots,"Subdivision 204, Page 198. GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space",,,{17BB2359-95AF-4690-9D7D-04D40FDAD6BB},,,198,0,0
"Triangle Park RES 0044,0045","South Carolina and Pennsylvania Aves., to 7th, 8th and D Sts., SE",TRIANGLE,DPR_0044,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,"0044,0045",none,Multiple Lots,"Subdivision 204, Page 198. GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space",,,{F6507BF4-A2AD-4757-BA95-AA790EF287F2},,,199,0,0
Watkins,"13th St., between D and E Sts., SE",REC CENTER GROUNDS,DPR_0611,Y,0,1,2,0,0,0,0,0,Y,N,4,0,0,1,0,0,1,N,0,0,0,N,,N,1,8,Nw,,Nw,RpLACE,Pr,ChnLnk,Flt,N,6,,12,N,0611,Watkins Elementary School,Multiple Lots,Subdivision Book 152 Page 134 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{EA3973BC-E944-440F-ABC8-E5F314DE1593},,2024/08/26 22:44:17+00,200,0,0
Triangle Park RES 0047,"Pennsylvania Ave., east of 8th St., SE",TRIANGLE,DPR_0047,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0047,none,0924S   0800,"Subdivision 204, Page 198. GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space",,,{2F4C0189-80D6-42A8-AB3C-0B3624397DA3},,,201,0,0
Fort Dupont Urban Farm,3779 ELY PLACE SE,SPECIALTY,DPR_0407,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,0405,,Multiple Lots,Merged lots 800-803 sq 5438,,,{8E619B01-CE45-4FBA-A946-0CD328B79DB9},,2024/08/26 23:01:34+00,202,0,0
Triangle Park RES 0258,"Potomac Ave. and E Street, SE",SMALL PARK,DPR_0258,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0258,none,RES 02580000,TOJ for Comp Plan,,,{80159DD9-942A-41CD-8E45-D6867840EA61},,,203,0,0
Triangle Park RES 0257,"Potomac Ave.,17th St.,E St.,SE",TRIANGLE,DPR_0257,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0257,none,RES 02570000,"Subdivision Book 158, Page 42.  TOJ to DC for Comp Plan",,,{F6ECD837-FA44-435A-8A64-7C9FB155B32C},,,204,0,0
DC Therapeutic,"3030 G St., SE",REC CENTER GROUNDS,DPR_0405,Y,1,0,1,0,0,0,0,0,N,Y,1,0,13,1,0,1,0,N,0,0,0,N,,Y,0,5,Nne,RpAIR,Nw,RpLACE,Pr,ChnLnk,Flt,N,7,,14,N,0405,none,RES 04050000,"Subdivision Books (121,139,140 & 158) Pages (39,14-15 & 28,42 & 40) (TOJ to DC for Recreation & Hwy purposes)",,,{CC772F81-7BFA-4DA6-A7FF-D6B04BD17227},,,205,0,0
Garfield Park,"F St. and Virginia Ave., between 1st and 3rd Sts., SE",PARK,DPR_0017,Y,0,0,0,0,0,0,2,0,N,N,16,0,0,1,1,0,0,N,0,0,0,N,,N,2,21,Nne,Gd,Nw,RpLACE,Gd,Ir,Flt,N,6,,12,Y,0017,none,RES 00170000,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1792/01/01 05:00:00+00,,{5D45F78B-E49E-4DA1-BCC1-6FEED1228CC0},,,206,0,0
Randall,"west of S. Capitol St., between G and K Sts., SW",REC CENTER GROUNDS,DPR_0484,Y,1,1,2,0,0,0,3,0,N,N,2,1,2,1,1,0,1,N,0,0,0,Y,,N,1,22,RpAIR,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,6,,05,,0484,Randall,RES 04840000,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),1971/10/18 04:00:00+00,,{84F8FC56-780E-4634-B92E-38D812484B5A},,2024/08/26 22:44:17+00,207,0,0
Triangle Park RES 0256,"Potomac Ave.,16th St.,G St.,SE",TRIANGLE,DPR_0256,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0256,none,RES 02560000,TOJ for Comp Plan,,,{8CC3BDC5-7F54-45CA-81CC-13D29E4407BB},,,208,0,0
Amidon Field,"4th and G Sts., SW",PARK,DPR_0711,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,05,,0711,Amidon Elementary School,0498    0885,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),1985/01/01 05:00:00+00,,{69F7A1D5-D55A-4516-8328-C850B6C2728E},,,209,0,0
Jefferson Field,"7th and 9th Sts., to G and H Sts., SW",PARK,DPR_0626,Y,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,05,,0626,Jefferson Junior High School,0414    0825,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{7635A532-7B39-4CF3-B027-FFAEE81BD65C},,,210,0,0
Woody Yard,5100 SOUTHERN AVENUE SE,REC CENTER GROUNDS,DPR_0692,Y,1,0,3,0,0,0,2,0,N,Y,5,1,0,1,1,0,1,N,0,0,0,N,,Y,1,5,RpAIR,RpAIR,Nw,RpLACE,RpAIR,ChnLnk,Flt,N,7,,14,N,0692,none,Multiple Lots,"Subdivision Book 158 Page 4 (TOJ for Recreation Purposes).  Parcel 0193 Lots (0030-0032,0065-66),Sq.5341E Lot 0040,Sq.5342E Lots 0001 & 0002",1992/01/01 05:00:00+00,,{E7DB0384-ECBB-4DC8-A518-95725E4B8B0B},,2024/08/26 23:01:34+00,211,0,0
Town Center Park,"3rd St. and I Sts., SW",SMALL PARK,DPR_0723,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0723,none,RES 07230000,AMT - Survey October 2007 - TOJ to DC for park & recreation purposes FOSET 2008,,,{F88D8DE0-42C3-4A8E-ABD7-7DA4B16EB194},,,212,0,0
Town Center Park,"6th St. and I Sts., SW`",SMALL PARK,DPR_0721,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0721,none,RES 07210000,AMT - Survey October 2007 - TOJ to DC for park & recreation purposes FOSET 2008,,,{F5A824B4-02A6-4AD6-B159-0FD53F7FD3AB},,,213,0,0
Town Center Park,"4th and I Sts., SW",SMALL PARK,DPR_0722,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0722,,Multiple Lots,AMT - SURVEY OCTOBER 2007 - TOJ to DC for park & recreation purposes FOSET 2008,,,{9A835195-DC20-46CE-8C1F-EF70F58EC648},,,214,0,0
Lansburgh Park,"Delaware Ave., between I and M Sts., SW",PARK,DPR_0712,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,05,,0712,Randall,RES 07120000,Subdivision Book 158 Page 50 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{D949FF1A-A451-4A52-A57B-78E0896E1FFC},,,215,0,0
Canal Park,"2nd St., between K and I Sts., SE",PARK,DPR_017B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,12,,017B,none,0767    0830,Subdivision Book 158 Page 50 (TOJ for Recreation Purposes),,,{E6C5E06A-0E82-49E7-952C-452F850C2476},,,216,0,0
Arthur Capper Community Center,1000 5TH STREET SE,REC CENTER GROUNDS,DPR_0012,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0124,,0880    0027,Subdivision Book 137 Page 7 (TOJ for Recreation Purposes),,,{43F5FA9F-E7E5-4C74-B1AA-F7E1B9063B66},,,217,0,0
Triangle Park RES 0253,"Potomac Ave. and K Street, SE",SMALL PARK,DPR_0253,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,0253,none,RES 02530000,TOJ for Comp Plan,,,{F15B43F4-2EDC-4FA7-8A08-FDF7C7A6A5A2},,,218,0,0
Canal Park,"2nd St., between K and L Sts., SE",PARK,DPR_017C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,,,017C,none,0768    0811,Subdivision Books (148 & 158) Pages (106 & 50) (TOJ for Recreation Purposes),,,{9304B9F2-9143-49A4-A959-C91879FAFCDE},,,219,0,0
Ridge,"Ridge Rd. and Burns St., SE",REC CENTER GROUNDS,DPR_0406,Y,1,0,2,0,0,0,0,0,N,Y,7,1,3,1,1,0,1,N,0,0,0,N,,Y,1,5,Nw,Nne,Nw,RpLACE,RpAIR,ChnLnk,MdSlp,N,7,,14,N,0405,none,PAR 01960012,Subdivision Book 158 Page 40 (TOJ to DC for Recreation purposes),,,{951CBB14-31D5-4928-9B7A-B7CC163B00E7},,,220,0,0
Virginia Avenue,"L St., between 9th and 11th Sts., SE",PARK,DPR_0126,Y,0,0,1,0,0,0,0,0,N,N,0,0,0,1,0,0,0,N,0,0,0,N,,N,0,0,,RpLACE,RpLACE,,RpAIR,ChnLnk,Flt,N,6,,12,N,0126,none,0952    0805,Subdivision Books (158 & 169) Pages (11 & 65) (TOJ for Recreation Purposes),1971/10/18 04:00:00+00,,{7A77B761-3A76-42BC-835F-E2896E13358E},,2024/08/26 23:01:34+00,221,0,0
Pope Branch Park,"M St. & Fairlawn Ave., to 39th & Nash Sts., SE",LARGE PARK,DPR_0624,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,7,,07,,0624,none,RES 06240000,Subdivision Book 158 Page 34 (TOJ for Recreation Purposes),1972/11/07 05:00:00+00,,{7C45457B-3F92-4CAF-8C7E-43F22FA95838},,,222,0,0
Boathouse Row,"Anacostia River (Both Banks) between John Phillip Sousa & 11th St. Bridges, SE",PARK,DPR_343D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,N,343D,none,RES 343D0000,"Federal Government and the District of Columbia Conveyances and Transfers in Public Law 109-396 (Partial TOJ for Rec,Park, and Open Space)",,,{424F3DDB-2894-4A50-9860-365FE3A36175},,,223,0,0
Joy Evans,"6th St., between L and M Sts., SE",PARK,DPR_019A,Y,0,0,0,0,0,0,0,0,N,N,0,0,0,1,1,1,0,N,0,0,0,,,N,1,3,Nne,RpLACE,Nne,RpLACE,Pr,ChnLnk,Flt,N,6,,12,N,019A,Van Ness Elementary School,RES 019A0000,Subdivision Books (152 & 155) Pages (133 & 177) (TOJ to DC for Recreation purposes),,,{EBA4D60E-EF3F-40A4-81EE-4B5675D7E8BA},,2024/08/26 23:21:52+00,224,0,0
Canal Park,"2nd St., between M and L Sts., SE",PARK,DPR_017D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,,,017D,,0769    0823,Subdivision Books (148 & 158) Pages (106 & 50) (TOJ for Recreation Purposes),,,{D782F8F9-64B5-4D1F-8EAD-0AE9A5A02021},,,225,0,0
Triangle Park RES 0251,"Potomac Ave SE, 9th Street SE, and M Street SE",TRIANGLE,DPR_0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0251,,0930S   0800,"Subdivision Book 204, Page 198. TOJ to DC for park & recreation purposes",,,{319A7E22-1DA1-4894-AD00-25F201DF0971},,,226,0,0
Triangle Park RES 0128,"Virginia Ave., Between 12th & M Sts., SE",TRIANGLE,DPR_0128,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0128,none,0999E   0800,AMT SURVEY FEBRUARY 2008 - TOJ to DC for park & recreation purposes,,,{62E57E1F-FB4C-4CDA-8FAE-17B549E865DE},,,227,0,0
Triangle Park RES 0129,"Virginia Ave. and south of M St., SE",TRIANGLE,DPR_0129,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0129,none,RES 01290000,"SURVEY BOOK 204, PAGE 5 AND AMT SURVEY FEBRUARY 2008 - TOJ to DC for park & recreation purposes",,,{B8BAB948-4690-455E-BE91-E5E3ABDB2532},,,228,0,0
Triangle Park RES 0299,"Water St., Between 14th & M Sts., SE",TRIANGLE,DPR_0299,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0299,none,RES 02990000,AMT SURVEY NPS to DC FEB 2008. - TOJ to DC FOSET 2008,,,{C93119B4-E49F-492C-BD5B-632240240C6A},,,229,0,0
King-Greenleaf,"Canal St., between M and N Sts., SW",REC CENTER GROUNDS,DPR_0634,Y,0,1,2,0,0,0,2,0,N,N,0,0,0,1,1,0,0,N,0,0,0,N,,N,0,0,Nw,Gd,Nw,RpLACE,Gd,Ir,Flt,N,6,,05,Y,"6P&Q,0634",Bowen Elementary School,Multiple Lots,"Subdivision Books (110,129,& 149) Pages (9,44,& 121) (TOJ to DC for Recreation purposes)",,,{5014FD90-A297-4E58-82E5-07DEB6464D5E},,,230,0,0
Triangle Park RES 0130,"Water St., south of M St., SE",TRIANGLE,DPR_0130,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0130,none,1025E   0802,AMT SURVEY FEBRUARY 2008 - TOJ to DC for park & recreation purposes,,,{066318E5-259F-4D9B-B74D-A2FCA9C3B9A4},,,231,0,0
East Potomac Pool,"1000 Ohio Dr., SW",POOL/SPRAY PARK,DPR_0333,Y,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0333,none,PAR 03160005, ,,,{94409E9C-C19D-4790-8E54-CB3D31E133FF},,,232,0,0
Anacostia Recreation Center,1800 Anacostia Drive SE,REC CENTER GROUNDS,DPR_343D,Y,,,,,,,9,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,6,,,,343D,none,PAR 02550019,Tennis courts are NPS' responsiblity,2001/01/01 05:00:00+00,,{5CB43FDE-9A33-4BA7-ABBE-C85326CC670B},,,233,0,0
