X,Y,OBJECTID,STORE,ADDRESS,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8563895.84892789,4704187.56581299,51,Night N Day 24 Hour Store,5026 Benning Rd SE,406006.01,134446.23,Exact,14817,38.87782758,-76.93078307,HealthyCornerStorePt_51,{011A5AFD-D8F3-4B4C-857B-EA2295088C59},,,,
-8567746.17121108,4703980.94394646,52,G & G Grocery,2924 Minnesota Ave SE,403004.84,134284.12,Exact,287329,38.87638261,-76.96537109,HealthyCornerStorePt_52,{DDD9CAB5-8851-4447-B4AD-97482BD4759A},,,,
-8568259.16401775,4703458.64895443,53,Dollar Plus Food Store (Penn Ave),2529 Pennsylvania Ave SE,402605.1,133878.5,Exact,302054,38.8727299,-76.96997938,HealthyCornerStorePt_53,{07A2CA7B-D959-43B2-A8DB-B425C5BE696F},,,,
-8570274.34421583,4702713.71286249,54,Grubb’s Southeast Pharmacy,1800 Martin Luther King Jr Ave SE,401034.28,133299.78,Exact,56153,38.8675198,-76.98808205,HealthyCornerStorePt_54,{BDDDF2D7-7CDE-4164-A745-1F0EEF68D86B},,,,
-8570254.6251981,4702642.80777621,55,24 Express,1223 Good Hope Rd SE,401049.66,133244.73,Exact,71043,38.86702387,-76.98790491,HealthyCornerStorePt_55,{1F1BB3EF-BE95-4117-9202-60EE99298041},,,,
-8569912.07773807,4702625.1886556,56,New Seven Market,1406 Good Hope Rd SE,401316.71,133231.09,Exact,65049,38.86690064,-76.98482775,HealthyCornerStorePt_56,{C43251A3-D0AD-4D62-9A16-2AD337B3CF27},,,,
-8570136.99105262,4702614.18588053,57,Anacostia Market,1303 Good Hope Road SE,401141.37,133222.52,Exact,286027,38.86682368,-76.98684818,HealthyCornerStorePt_57,{0D6971D8-AFD9-4505-B575-29B74A8A91E0},,,,
-8566003.38159622,4702554.23998557,58,FlexCare Pharmacy,3857 Alabama Ave SE,0,0,Manual,,,,HealthyCornerStorePt_58,{A2A0D21B-B9DA-4259-B350-625E34E609AD},,,,
-8570797.25733937,4701951.6787208,59,MLK Grocery,2420 MLK Jr. Ave SE,400626.67,132708.06,Exact,47224,38.86218973,-76.99277945,HealthyCornerStorePt_59,{CAF3EFE2-AC56-4112-8C61-40A26342146E},,,,
-8570192.6376576,4701388.58235173,60,Dollar Plus Food Super Market (Howard Rd.),1453 Howard Road SE,401098.12,132270.87,Exact,286224,38.85825088,-76.98734807,HealthyCornerStorePt_60,{AE92D746-B386-4561-B051-0A3FBE4D657D},,,,
-8568824.06066202,4700279.50866369,61,Dollar Plus Grocery,2101 Alabama Ave SE,402165.42,131409.83,Exact,51905,38.85049228,-76.97505393,HealthyCornerStorePt_61,{53CCA37F-C055-4ED7-972C-7A89F2699E05},,,,
-8571229.22737625,4699703.7074012,62,Martin’s Foodtown,2765 Martin Luther King Jr Ave SE,400289.95,130962.36,Exact,302061,38.84646389,-76.99665991,HealthyCornerStorePt_62,{5EEE9F08-7AEA-4BD2-988E-D3ACF3E3B068},,,,
-8571316.39266066,4699563.06742077,63,Mellon’s Market,2921 Martin Luther King Jr Ave SE,400221.98,130853.13,Exact,278300,38.84547992,-76.99744293,HealthyCornerStorePt_63,{620A07A6-8520-400E-8A1D-77C01FAA8346},,,,
-8571412.9078332,4699402.52188084,64,Smiley Mart,3019 Martin Luther King Jr Ave SE,0,0,Manual,,,,HealthyCornerStorePt_64,{F11B8C28-8B66-4FFA-9A76-814CDCB2A99E},,,,
-8571332.00652541,4699263.91696877,65,Liff’s Market,600 Alabama Ave SE,400209.81,130620.79,Exact,294492,38.8433869,-76.99758319,HealthyCornerStorePt_65,{2B5F7649-659B-42D5-826A-AA39F6D4FAD9},,,,
-8571943.99005979,4699123.79292214,66,MLK Mini Mart,3333 MLK Jr. Ave SE,399732.55,130511.96,Exact,36102,38.84240649,-77.00308073,HealthyCornerStorePt_66,{A443322D-258E-417A-B504-8575BECA5899},,,,
-8570929.35398684,4698663.83303976,67,Holiday Market,3509 Wheeler Rd SE,400523.85,130154.72,Exact,147495,38.8391882,-76.9939661,HealthyCornerStorePt_67,{C065A8DA-C13E-4820-B5A9-84458F4A724F},,,,
-8570511.73110671,4697858.94516209,68,Wheeler Market,4133 Wheeler Rd SE,400849.62,129529.55,Exact,300965,38.83355613,-76.99021453,HealthyCornerStorePt_68,{ADEF8534-4F1A-4B51-AB66-7FD970AF3394},,,,
-8572555.7152062,4697635.82263043,69,Secrets of Nature,3923 South Capitol St SW,399255.38,129356.22,Exact,276603,38.83199479,-77.00857595,HealthyCornerStorePt_69,{29756F73-F854-42C4-8C12-E7D778125586},,,,
-8571410.7136048,4697207.59167147,70,Chesapeake Big Market,601 Chesapeake St SE,400148.46,129023.53,Exact,151054,38.82899807,-76.99829023,HealthyCornerStorePt_70,{ACB1A1CC-ADB2-4977-B255-710EFE123821},,,,
-8572441.57566706,4696763.17314707,71,Elmira Grocery,4401 South Capitol Street SW,399344.35,128678.31,Exact,299727,38.82588793,-77.00755062,HealthyCornerStorePt_71,{B521A46A-D853-4EC3-83DF-C207EBB2CD5E},,,,
