GEOID,TotalPopulation,DIABETES,CASTHMA,m1_1_sch_1,m1_2_qua_1,total_score,crime_burden_per_1000,percentile,weighted_mean_dist_m,weighted_mean_percentile,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,TRACT_COUNT_Alcohol_Li,TRACT_COUNT_Grocery_St,TRACT_COUNT_Healthy_Co,TRACT_COUNT_Independen,TRACT_COUNT_Leaking_Un,TRACT_COUNT_Metro_Bus_,TRACT_COUNT_Metro_Stat,TRACT_COUNT_Parks_and_,TRACT_COUNT_Police_Sta,TRACT_COUNT_Primary_Ca,TRACT_COUNT_Recreation,dist_to_m_Alcohol_Li,dist_to_m_Grocery_St,dist_to_m_Healthy_Co,dist_to_m_Independen,dist_to_m_Leaking_Un,dist_to_m_Metro_Bus_,dist_to_m_Metro_Stat,dist_to_m_Parks_and_,dist_to_m_Police_Sta,dist_to_m_Primary_Ca,dist_to_m_Recreation,TRACT_MEAN_ELEV,TRACT_MED_ELEV,TRACT_COUNT_Hospital,TRACT_COUNT_Food_Access,TRACT_COUNT_Public_House
11001010603,0.4195121951219512,0.024390243902439025,0.1024390243902439,0.286407767,0.815533981,4.3336,2.324892703862661,0.9757281553398058,181.36321548901267,10.240911002579583,176,0.1024390243902439,34,0.12195121951219512,0.7073170731707317,0.6439024390243903,0,0,0.9609756097560975,0.4975609756097561,0.8292682926829268,0,0,0,0,0.4,0.37073170731707317,0.3463414634146341,0.11707317073170732,0.3170731707317073,0.35121951219512193,0.16097560975609757,0.9024390243902439,0.43902439024390244,0.2926829268292683,0.6097560975609756,0,0,0,0.14146341463414633,0
11001000904,0.44878048780487806,0.5365853658536586,0.04878048780487805,0.063106796,0.11407767,0.024,0.00742574257425742,0.01941747572815533,601.445319725768,53.449748100528105,233,0.12682926829268293,66,0.4292682926829268,0.3951219512195122,0,0,0,0.03902439024390244,0.6536585365853659,0,0.697560975609756,0,0,0,0.9707317073170731,0.8341463414634146,0.9951219512195122,0.9804878048780488,0.9853658536585366,0.8195121951219512,0.9414634146341463,0.5951219512195122,0.8780487804878049,0.975609756097561,0.9853658536585366,0.9902439024390244,0.9902439024390244,0.9365853658536586,0.4975609756097561,0
11001003702,0.36097560975609755,0.5121951219512195,0.6292682926829268,0.665048544,0.247572816,1.349,0.5357426528991264,0.5388349514563107,357.1913841072413,29.708112553001307,1614,0.9219512195121952,259,0.8097560975609757,0.09268292682926829,0,0,0.7365853658536585,0.18536585365853658,0.024390243902439025,0,0.697560975609756,0,0.7951219512195122,0.7609756097560976,0.12682926829268293,0.4146341463414634,0.04878048780487805,0.04878048780487805,0.375609756097561,0.5853658536585366,0.13170731707317074,0.014634146341463415,0.24878048780487805,0.01951219512195122,0.004878048780487805,0,0,0,0,0
11001009204,0.35121951219512193,0.8585365853658536,0.7707317073170732,0.708737864,0.11407767,2.1424,0.6561715160796324,0.6116504854368932,394.9958423174005,33.69307532935896,1698,0.8878048780487805,126,0.6634146341463415,0.7365853658536585,0.6439024390243903,0,0,0.8097560975609757,0.36585365853658536,0,0.697560975609756,0,0,0.7609756097560976,0.35121951219512193,0.11707317073170732,0.2926829268292683,0.824390243902439,0.18048780487804877,0.22439024390243903,0.12682926829268293,0.14634146341463414,0.6195121951219512,0.23902439024390243,0.2682926829268293,0,0,0,0.14146341463414633,0
11001008804,0.17073170731707318,0.6682926829268293,0.7268292682926829,0.791262,0.291262,3.7344,1.3664105378704718,0.8349514563106796,838.4668057798817,72.98468873814087,1478,0.8585365853658536,290,0.824390243902439,0.3951219512195122,0,0.926829268292683,0,0.8634146341463415,0.6926829268292682,0,0.3804878048780488,0,0,0.6097560975609756,0.5463414634146342,0.5756097560975609,0.13170731707317074,0.37073170731707317,0.5707317073170731,0.751219512195122,0.8390243902439024,0.624390243902439,0.2682926829268293,0.424390243902439,0.4195121951219512,0,0,0,0.4975609756097561,0
11001007804,0.6,1,0.9463414634146341,0.597087,0.747573,3.507,0.8058363970588235,0.6893203883495146,867.8330972540704,72.6811077851984,2624,0.9707317073170731,204,0.8829268292682927,0.3951219512195122,0,0,0.7365853658536585,0.5365853658536586,0.8292682926829268,0,0.8634146341463415,0,0,0.7609756097560976,0.7853658536585366,0.9024390243902439,0.36585365853658536,0.08780487804878048,0.8634146341463415,0.4926829268292683,0.43414634146341463,0,0.3902439024390244,0.4926829268292683,0.14634146341463414,0.8682926829268293,0.8634146341463415,0,0.8439024390243902,0.9609756097560975
11001007601,0.9219512195121952,0.9365853658536586,0.848780487804878,0.281553,0.114078,9.201,1.7308126410835216,0.9174757281553398,857.910703962383,70.96924336776851,2330,0.8097560975609757,427,0.8634146341463415,0.33170731707317075,0.6439024390243903,0.926829268292683,0,0.6634146341463415,0.6926829268292682,0,0.8634146341463415,0,0,0.7609756097560976,0.8829268292682927,0.6,0.4195121951219512,0.7414634146341463,0.024390243902439025,0.7853658536585366,0.6829268292682927,0.3463414634146341,0.34146341463414637,0.6487804878048781,0.23902439024390243,0.7170731707317073,0.7121951219512195,0,0.9853658536585366,0
11001010300,0.6390243902439025,0.7219512195121951,0.6487804878048781,0.689320388,0.480582524,1.612,0.3773408239700375,0.4320388349514563,793.33083492282,65.44579942321799,681,0.424390243902439,85,0.36097560975609755,0.5658536585365853,0.9365853658536586,0,0.7365853658536585,0.8292682926829268,0.7317073170731707,0,0,0,0,0,0.00975609756097561,0.014634146341463415,0.44878048780487806,0.5902439024390244,0.25365853658536586,0.08780487804878048,0.44390243902439025,0.8390243902439024,0.5853658536585366,0.9853658536585366,0.6829268292682927,0,0,0,0.8439024390243902,0
11001009901,0.16585365853658537,0.7463414634146341,0.551219512195122,0.538835,0.529126,4.2634,1.714963797264682,0.912621359223301,539.2677640327576,47.7630125930999,280,0.3024390243902439,25,0.24878048780487805,0.33170731707317075,0,0,0.7365853658536585,0.2780487804878049,0.6146341463414634,0,0.3804878048780488,0.9317073170731708,0,0,0.9463414634146341,0.9219512195121952,0.5707317073170731,0.5609756097560976,0.9804878048780488,0.975609756097561,0.9219512195121952,0.33170731707317075,0.2146341463414634,0.7219512195121951,0.8682926829268293,0,0,0,0.751219512195122,0
11001003600,0.926829268292683,0.33658536585365856,0.5024390243902439,0.427184466,0.509708738,4.4896,0.9241663235899548,0.7330097087378641,417.28241409206584,36.2640394878151,1017,0.5414634146341464,87,0.25365853658536586,0.09268292682926829,0,0.751219512195122,0,0.47804878048780486,0.1951219512195122,0,0.3804878048780488,0,0,0.6097560975609756,0.48292682926829267,0.32682926829268294,0.08780487804878048,0.44390243902439025,0.32682926829268294,0.7414634146341463,0.23902439024390243,0.5219512195121951,0.33170731707317075,0.25853658536585367,0.22926829268292684,0,0,0,0.18536585365853658,0
11001009203,0.3073170731707317,0.5756097560975609,0.6487804878048781,0.5,0.11407767,0.326,0.10096004955094458,0.12135922330097088,717.150991626116,65.17495702323518,675,0.5121951219512195,298,0.8195121951219512,0.2048780487804878,0,0.751219512195122,0,0.03902439024390244,0.45365853658536587,0,0.3804878048780488,0,0,0,0.6,0.4195121951219512,0.11219512195121951,0.8878048780487805,0.926829268292683,0.8585365853658536,0.5024390243902439,0.28292682926829266,0.32682926829268294,0.6390243902439025,0.37073170731707317,0,0,0,0.4975609756097561,0
11001005503,0.2048780487804878,0.3902439024390244,0.4682926829268293,0.233009709,0.800970874,0.122,0.05407801418439716,0.05339805825242718,235.97463395706689,16.00180968385141,704,0.7707317073170732,59,0.43414634146341463,0.4682926829268293,0.6439024390243903,0,0,0.5365853658536586,0.024390243902439025,0,0.3804878048780488,0,0,0.6097560975609756,0.23414634146341465,0.18536585365853658,0.824390243902439,0.6829268292682927,0.33170731707317075,0.8731707317073171,0.33658536585365856,0.2048780487804878,0.7024390243902439,0.4585365853658537,0.05853658536585366,0.8341463414634146,0.8341463414634146,0,0.18536585365853658,0
11001008802,0.8292682926829268,0.624390243902439,0.6829268292682927,0.325243,0.762136,1.5496,0.34466192170818505,0.4029126213592233,579.8809273238568,52.72818639833089,1499,0.7121951219512195,277,0.6829268292682927,0.33170731707317075,0,0.926829268292683,0,0.6,0.45365853658536587,0,0.3804878048780488,0,0,0.7609756097560976,0.6878048780487804,0.6146341463414634,0.15121951219512195,0.424390243902439,0.5658536585365853,0.25853658536585367,0.7804878048780488,0.07804878048780488,0.6536585365853659,0.5414634146341464,0.05365853658536585,0,0,0,0.6487804878048781,0
11001005900,0.25853658536585367,0.11707317073170732,0.33658536585365856,0.951456311,0.519417476,0.7536,0.30923266311038167,0.3592233009708738,461.12353630587495,40.48426820603444,478,0.551219512195122,84,0.4634146341463415,0.8975609756097561,0,0,0,0.8731707317073171,0.6146341463414634,0.8292682926829268,0,0.9317073170731708,0.7951219512195122,0,0.08292682926829269,0.4682926829268293,0.7560975609756098,0.4585365853658537,0.44390243902439025,0.2731707317073171,0.004878048780487805,0.9658536585365853,0.02926829268292683,0.04390243902439024,0.8341463414634146,0,0,0,0.3853658536585366,0.8048780487804879
11001007903,0.06341463414634146,0.6195121951219512,0.624390243902439,0.485437,0.42233,1.6546,0.8146725750861644,0.6941747572815534,604.6109065029206,55.530847601559785,270,0.3804878048780488,95,0.6780487804878049,0.2048780487804878,0,0,0,0.47804878048780486,0.00975609756097561,0,0,0,0,0,0.4585365853658537,0.5853658536585366,0.22926829268292684,0.9658536585365853,0.5414634146341464,0.7121951219512195,0.6390243902439025,0.6634146341463415,0.8195121951219512,0.36585365853658536,0.40487804878048783,0,0,0,0.6487804878048781,0
11001008002,0.5463414634146342,0.32682926829268294,0.4146341463414634,0.165049,0.728155,0.9242,0.2620357244116813,0.32038834951456313,739.285263152523,67.57401488042372,390,0.28292682926829266,100,0.47804878048780486,0.33170731707317075,0,0.751219512195122,0,0.03902439024390244,0.5609756097560976,0,0.697560975609756,0,0,0,0.375609756097561,0.7707317073170732,0.014634146341463415,0.9609756097560975,0.7414634146341463,0.17560975609756097,0.4097560975609756,0.2,0.6585365853658537,0.7121951219512195,0.7707317073170732,0,0,0,0.9073170731707317,0
11001001500,0.9853658536585366,0.4975609756097561,0.04878048780487805,0.038834951,0.11407767,0.0994,0.01652260638297872,0.02427184466019417,1570.7566887837463,93.26148217114196,103,0.004878048780487805,47,0.15609756097560976,0.09268292682926829,0,0,0.926829268292683,0.18536585365853658,0.9512195121951219,0,0.697560975609756,0,0,0.7609756097560976,0.5609756097560976,0.9707317073170731,0.8780487804878049,0.6390243902439025,0.9512195121951219,0.4146341463414634,0.9853658536585366,0.9902439024390244,0.8926829268292683,0.9951219512195122,0.9609756097560975,0.9804878048780488,0.975609756097561,0,0.8439024390243902,0
